Id,Name,Symbol,Slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap
5805,Avalanche,AVAX,avalanche,656,2020-07-13 00:00:00,720000000,367081059,435113969,35.30649317,533525002.75414910,-25.26740000,-0.01185968,-2.46819030,13.09559173,-11.96882368,60.75522539,202.88128326,12960344885.74502800,0.78110000,25420675082.21000000
5994,Shiba Inu,SHIB,shiba-inu,733,2020-08-01 00:00:00,,589290183350291,589534412081346,0.00000910,106402916.70931321,-13.47570000,0.43604988,-2.05943081,2.61352166,-13.61085763,8.19558505,17.06517544,5363819153.45526100,0.32330000,5366042164.77000000
6210,The Sandbox,SAND,the-sandbox,497,2020-08-05 00:00:00,3000000000,2237731926,3000000000,0.44807489,85223937.14334552,6.05610000,0.64606464,-4.13289039,0.98719081,-24.52555826,5.86087849,25.83827371,1002671480.01044070,0.06030000,1344224661.04000000
6535,NEAR Protocol,NEAR,near-protocol,353,2020-08-11 00:00:00,,1004666471,1000000000,2.93658397,229647416.07839054,6.26860000,1.22458650,-5.30253145,12.56107314,-19.82950807,47.94546755,94.22258671,2950287458.06982300,0.17800000,2936583974.12000000
6636,Polkadot,DOT,polkadot-new,681,2020-08-19 00:00:00,,1273936441,1406196942,6.80832724,194676552.88773414,-40.39610000,0.45237221,-2.94501496,6.20736581,-18.54319868,24.37026998,48.07535024,8673376168.12107000,0.52220000,9573848944.43000000
6719,The Graph,GRT,the-graph,415,2020-12-17 00:00:00,,9390309781,10793911092,0.15719880,50997275.20640954,-0.91550000,0.61471794,-3.57654381,4.29818349,-22.68689457,4.87596086,45.07198796,1476145386.43198540,0.08900000,1696789821.83000000
6783,Axie Infinity,AXS,axie-infinity,409,2020-08-31 00:00:00,270000000,136619615,270000000,7.10169353,74023549.14709997,5.80450000,0.43950290,-6.45793956,-1.19492682,-20.88437649,8.36028581,32.35970235,970230632.99561230,0.05850000,1917457252.73000000
6892,MultiversX,EGLD,multiversx-egld,219,2020-09-04 00:00:00,31415926,26516089,26521241,56.16898268,36860824.89956733,-26.85510000,1.05066413,-3.61424048,12.72036667,-20.40995873,23.14804879,75.48281328,1489381743.72131160,0.08980000,1764600603.30000000
6953,Frax Share,FXS,frax-share,248,2020-09-08 00:00:00,,76513939,99681496,9.98277485,74967901.39824210,53.07950000,-2.53825138,-4.41292789,0.76337475,12.75529198,28.04326403,63.05711632,763821429.98918030,0.04600000,995097927.41000000
7080,Gala,GALA,gala,369,2020-09-16 00:00:00,,27799861148,29829021284,0.02242621,48483045.79320788,9.38640000,0.57657214,-4.01382422,0.16444640,-28.29402671,-13.58813034,24.00378869,623445495.83162270,0.03760000,668951865.10000000
7083,Uniswap,UNI,uniswap,926,2020-09-17 00:00:00,1000000000,598187016,1000000000,6.09866103,98542450.91030724,18.12350000,0.58208652,-2.61399976,4.83094604,-18.50094419,1.14216450,31.31400618,3648139839.86639400,0.22000000,6098661027.50000000
7186,PancakeSwap,CAKE,pancakeswap,1308,2020-09-25 00:00:00,450000000,247671316,385759630,2.53832352,61718468.98581667,-2.29260000,0.65544449,-3.33702877,2.84551009,-27.21572168,9.71858269,60.80044948,628669925.64244190,0.03790000,1142245584.15000000
7226,Injective,INJ,injective,292,2020-09-29 00:00:00,,88392222,100000000,34.66570582,198830681.20190892,-19.55430000,0.08904907,-5.34925156,3.94592096,-10.11788282,92.79587354,135.12933136,3064178776.00747730,0.18450000,3466570581.93000000
7278,Aave,AAVE,aave,803,2020-10-02 00:00:00,16000000,14715972,16000000,87.18645616,164831986.02473230,76.69750000,0.24258149,-7.66243594,-2.33228325,-22.38062730,-14.14236282,-5.47117567,1283033456.31107300,0.07740000,1394983298.60000000
7334,Conflux,CFX,conflux-network,142,2020-11-11 00:00:00,,3653676883,4966176880,0.22435737,64518641.55700825,-33.29770000,0.43905629,-3.77302129,25.11079154,18.30978351,37.10027865,47.02412806,819729331.32222560,0.04940000,1114198377.04000000
7431,Akash Network,AKT,akash-network,65,2020-10-16 00:00:00,388539008,226602688,226602688,2.92972714,4832485.05520123,-15.03930000,3.99518917,-0.31951845,10.70727705,16.82923654,62.37515479,199.24056039,663884043.57019620,0.04000000,1138313274.79000000
7501,WOO,WOO,wootrade,287,2020-10-23 00:00:00,,1823181468,2230434667,0.35278142,17118620.94432051,-27.42680000,0.32841319,-4.95730441,0.99770051,-14.16770502,52.56434087,61.07308264,643184543.50841890,0.03870000,786855904.67000000
7548,WEMIX,WEMIX,wemix,52,2020-10-29 00:00:00,980000000,355435723,951497732,2.41810108,4022823.97491185,-13.52080000,0.11491958,-4.70401695,1.55070551,-10.10658322,-3.51093671,91.67336757,859479508.20868460,0.05180000,2369739062.11000000
7653,Oasis Network,ROSE,oasis-network,120,2020-11-12 00:00:00,10000000000,6713599876,10000000000,0.10168174,47978534.84787731,50.44250000,0.89547134,-7.84683234,4.92943599,-24.80737427,21.79619896,81.18013033,682650496.18774440,0.04110000,1016817368.92000000
7950,Flare,FLR,flare,63,2020-12-11 00:00:00,,32505292094,100559787198,0.02394393,13986001.49849260,-4.00190000,1.66839240,-0.27485636,12.24866819,29.80979317,67.39646470,127.84067796,778304563.40178060,0.04690000,2407796891.81000000
8000,Lido DAO,LDO,lido-dao,317,2020-12-15 00:00:00,1000000000,890205977,1000000000,2.91847362,76271829.68610601,-18.49900000,0.00994605,-6.34856723,3.46176979,2.97260541,23.95216545,66.52548106,2598042655.48281000,0.15670000,2918473616.25000000
8646,Mina,MINA,mina,133,2021-03-02 00:00:00,,1043909116,1120585133,1.18305965,82861641.45397495,-14.82870000,1.68277881,0.81443762,12.63686934,-19.40221946,58.19526839,106.87753384,1235006757.26024480,0.07440000,1325719059.39000000
8916,Internet Computer,ICP,internet-computer,211,2021-03-23 00:00:00,,457355292,513926126,11.89831140,106399769.20110768,-17.07360000,0.43370943,-0.75440599,6.54637109,-9.13941515,147.18850817,203.52187445,5441755687.45395400,0.32810000,6114853089.23000000
9481,Pendle,PENDLE,pendle,207,2021-04-29 00:00:00,258446029,238185588,258446028,2.69760504,69673349.66123890,-41.49470000,0.59390307,-3.03822072,18.51428091,125.17303057,152.32082288,200.87274978,642530642.49917530,0.03870000,697185309.53000000
10603,Immutable,IMX,immutable-x,241,2021-06-24 00:00:00,2000000000,1355784832,2000000000,1.99029368,61423854.43688986,-9.56840000,1.27911962,-3.29866488,7.16655106,-11.15966370,42.08741205,198.62238359,2698409989.42834300,0.16270000,3980587368.68000000
10791,eCash,XEC,ecash,88,2021-07-08 00:00:00,21000000000000,19621948423092,19621948423092,0.00003074,6380580.96273841,4.58860000,0.05946526,-2.07759490,-0.51522906,-18.69252000,2.47338323,10.20777559,603154545.57581450,0.03630000,645514155.07000000
11092,Bitget Token,BGB,bitget-token-new,14,2021-07-29 00:00:00,2000000000,1400000000,2000000000,0.59569107,26218217.95547022,71.71090000,-0.04549757,-0.55993055,2.20537844,0.18683716,17.92052614,22.81200176,833967494.05999470,0.05030000,1191382134.37000000
11156,dYdX (ethDYDX),ETHDYDX,dydx-ethdydx,285,2021-08-03 00:00:00,,309204656,536043997,2.67529433,71285527.38945277,-1.33700000,0.35637180,-6.52233677,2.79890723,-10.84048080,-19.63280136,20.30272199,827213463.94000210,0.04980000,1434075467.79000000
11419,Toncoin,TON,toncoin,197,2021-08-26 13:40:22,,3457870387,5102154079,2.09164658,28359865.56562785,14.72960000,0.51474747,-1.14128238,-2.73312433,-9.53932024,-14.24598479,-6.06324974,7232642767.83851050,0.43620000,10671903126.69000000
11840,Optimism,OP,optimism-ethereum,454,2022-05-31 16:19:46,4294967296,957378568,4294967296,3.02506701,248485705.99439552,-3.63110000,0.72894795,-7.22177936,5.92088597,-18.15276478,77.22497972,122.23686255,2896134325.97807000,0.17470000,12992563893.39000000
11841,Arbitrum,ARB,arbitrum,755,2023-03-23 12:50:11,,1275000000,10000000000,1.82203858,576068775.04360010,-0.86460000,0.58834052,-6.19028367,5.36968254,14.65449258,68.59875097,87.65220847,2323099190.90211250,0.14010000,18220385811.00000000
12220,Osmosis,OSMO,osmosis,321,2021-09-30 16:58:27,1000000000,492590761,587378721,1.62665982,38490283.52015495,8.25500000,0.68961148,-4.72574318,11.02672510,6.54550141,131.84371272,345.68576684,801277596.29475370,0.04830000,1626659815.28000000
12885,Astar,ASTR,astar,96,2021-10-19 09:53:03,,5554801542,8374792613,0.18411756,35436756.15846445,6.50380000,1.87559917,-0.28943516,6.93667674,35.31051738,164.26349583,240.59079750,1022736479.24570660,0.06170000,1541946340.78000000
13631,Manta Network,MANTA,manta-network,78,2024-01-18 10:00:24,1000000000,251000000,1000000000,3.15058430,403412713.89357520,8.65380000,-0.04196569,-11.77938194,1.38071608,38.92221841,38.92221841,38.92221841,790796660.52448690,0.04770000,3150584304.88000000
14101,Ronin,RON,ronin,32,2021-11-08 17:57:40,,292015782,1000000000,2.86622061,25325388.66692801,33.68510000,2.71711000,5.01758961,22.79017650,55.54334293,153.51608513,472.86523147,836981652.89692440,0.05050000,2866220611.60000000
16086,BitTorrent (New),BTT,bittorrent-new,140,2019-01-31 00:00:00,,968246428571000,990000000000000,8.2E-7,23329750.71800843,-1.51730000,0.26217084,-3.86702109,1.44195034,-29.49417000,73.04341215,79.39722548,797076972.10114650,0.04800000,814984883.08000000
19891,USDD,USDD,usdd,153,2022-05-02 08:07:12,,725332034,725332034,0.99462387,13668009.91179346,4.54710000,0.08248672,-0.03538363,0.05931052,1.45412932,1.31960609,-0.34732883,721432550.98857670,0.04350000,721432550.99000000
20396,Kaspa,KAS,kaspa,93,2022-06-01 00:03:58,28700000000,22518746296,22518746296,0.10272654,20808149.71493083,-2.51270000,0.94891374,-3.68753849,2.46633415,-9.43441452,-24.52704556,100.33379608,2313272781.81411550,0.13930000,2948251557.47000000
20947,Sui,SUI,sui,204,2022-07-12 08:03:11,10000000000,1100947215,10000000000,1.60105097,651591532.52273460,-12.12160000,-0.06246943,4.54850840,24.29981323,97.73746337,160.08282677,257.12894762,1762672603.39574480,0.10610000,16010509678.35000000
21794,Aptos,APT,aptos,327,2022-10-19 01:50:25,,337654484,1078605569,8.99233493,132804490.87918055,-4.78450000,0.83179238,-5.10133730,4.86556691,-7.72993483,23.39137681,35.63089702,3036302213.62094970,0.18280000,9699182537.30000000
22861,Celestia,TIA,celestia,128,2023-10-31 16:51:41,,161207911,1020164384,16.88097838,187311937.77243623,3.32320000,0.09270595,-8.13842331,2.67739622,34.56137016,97.79276804,601.16139854,2721347265.27262540,0.16400000,17221372901.28000000
23095,Bonk,BONK,bonk1,226,2022-12-30 06:58:50,100000000000000,63333513043628,93623070761873,0.00001091,88133545.41630699,5.40820000,-0.02841646,-7.51204691,-1.86433600,-18.96122674,147.40690367,1654.60142832,691216968.19590650,0.04170000,1091392116.08000000
23121,Blur,BLUR,blur-token,195,2023-02-13 15:07:24,,1276141742,3000000000,0.61776142,146694933.67318010,-22.57300000,0.00809835,-7.21857820,-3.80801925,29.58311763,20.45865220,166.62267014,788351130.99757980,0.04750000,1853284251.66000000
23149,Sei,SEI,sei,126,2023-08-14 07:35:00,,2425000000,10000000000,0.70415512,453748005.92638090,-14.65440000,2.00083506,-5.31003193,8.17149539,6.46168860,170.31078057,541.34871372,1707576169.23527150,0.10300000,7041551213.34000000
25028,ORDI,ORDI,ordi,120,2023-05-08 05:51:24,21000000,21000000,21000000,61.67009257,238174207.06369907,-11.13150000,1.70605232,-0.31366633,14.83897936,-19.59938099,118.06174860,1094.33916980,1295071943.87065890,0.07810000,1295071943.87000000
26081,First Digital USD,FDUSD,first-digital-usd,187,2023-07-26 04:26:40,,2578169834,2578169834,0.99994015,5314726217.08078200,7.66080000,0.03480257,0.01035873,0.16333077,0.02797238,0.00673531,0.02338639,2578015520.51377060,0.15550000,2578015520.51000000
27075,Mantle,MNT,mantle,42,2023-07-17 11:00:31,6219316795,3166917893,6219316795,0.59425760,114458116.62041265,5.31960000,0.54159788,-1.84905431,-3.72481194,-6.52072991,9.29364424,49.41944318,1881965039.76192570,0.11350000,3695876298.26000000
28177,Pyth Network,PYTH,pyth-network,123,2023-11-20 09:42:13,,1499989237,9999989237,0.41009831,117007490.26941794,65.17770000,-0.61344306,-4.33441090,10.88648165,24.13034518,-4.89550006,-37.33673824,615143047.56667780,0.03710000,4100978663.48000000
28298,Beam,BEAM,onbeam,84,2021-10-29 04:07:32,,51029579705,62955102600,0.01758314,17418322.01894996,8.72450000,-0.61367676,-7.25143113,-1.54645126,1.41471713,55.02971431,292.19563699,897260266.40949420,0.05410000,1106948410.26000000
28683,SATS,1000SATS,sats,23,2023-12-12 07:05:34,2100000000000,2100000000000,2100000000000,0.00051423,48183216.38597962,-11.33120000,2.50434967,0.02756817,18.49846700,-33.74934138,-17.09582124,-17.09582124,1079878591.58581470,0.06510000,1079878591.59000000
29210,Jupiter,JUP,jupiter-ag,42,2024-01-31 08:38:13,10000000000,1350000000,10000000000,0.67281717,381654862.05170876,0E-8,-5.77167343,-57.92575642,-57.92575642,-57.92575642,-57.92575642,-57.92575642,908303186.07221710,0.05470000,6728171748.68000000
